Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:35 - [DEBUG] - Creating a Text texture
Apr 07 03:11:36 - [DEBUG] - Creating a Text texture
Apr 07 03:11:37 - [DEBUG] - Creating a Text texture
Apr 07 03:11:38 - [DEBUG] - Creating a Text texture
Apr 07 03:11:39 - [DEBUG] - Creating a Text texture
Apr 07 03:11:40 - [DEBUG] - Creating a Text texture
Apr 07 03:11:41 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
Apr 07 03:11:42 - [DEBUG] - Creating a Text texture
